kic_kepler_id,kic_kepmag,kic_teff,kic_logg,kic_feh,kic_glon,kic_glat,num_quarters,ra_2000,dec_2000,meanprob,stdprob,teff_val,teff_percentile_lower,teff_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,kct_contamination,r_lo,crowding_mag
2438421,12.385,3178,0.043000001,-0.013,69.999596,10.839,17,290.3169619,37.77953519,0.9384386144,0.02832192477,3557.065,3376.355,3660.8066,,,,12.263899,14.120813,10.974709,3.1461048,1.8569145,1.2891903,0.077926,3686.978172,12.75
2437171,12.598,3175,0.041999999,-0.017999999,69.914169,10.894614,17,290.2071781,37.72854295,0.9620578174,0.02148008643,3308,3283,3706.93,,,,12.404523,14.294817,11.1073265,3.1874905,1.8902941,1.2971964,0.198951,3249.9149,12.87
2569935,13.115,4115,1.66,-0.07,69.992165,10.918506,17,290.2224436,37.80782909,0.9755473432,0.001785908053,3951.97,3776.577,4190.1,,,,13.078662,14.028294,12.124755,1.9035387,0.9496317,0.953907,0.221571,5281.598234,13.37
2437496,13.129,4010,2.1489999,0.523,69.976395,10.90468,17,290.229616,37.78786663,0.9765283482,0.001463552661,3991.875,3939.9402,4154.7637,88.258,67.65311,108.8629,13.086857,14.138141,12.076449,2.0616913,1.0512838,1.0104074,0.278908,2893.492641,13.35
2437965,13.317,4173,1.7589999,-0.068999998,69.990501,10.877849,17,290.2677781,37.78852772,0.9758435363,0.001480969589,4119,4052.4465,4265.76,,,,13.263756,14.152616,12.348179,1.8044367,0.88885975,0.91557693,0.263009,4467.577189,13.51
2569204,13.363,3994,2.092,0.514,69.97303,10.975974,11,290.1466236,37.81612266,0.9708978992,0.002946190617,4062.11,3885.15,4258.13,149.09549,106.399475,191.7915,13.309042,14.377736,12.291881,2.0858555,1.0686941,1.0171614,0.058583,4024.474716,13.69
2436884,13.522,4134,1.7079999,-0.072999999,69.947433,10.928338,,290.1869121,37.7726554,0.973389032,0.001846448499,4128,3979.25,4252.005,101.7139,76.07187,127.35593,13.492225,14.41953,12.548622,1.8709078,0.9273052,0.94360256,0.280956,3791.814318,13.70
2437340,13.533,4112,1.762,0.085000001,69.92997,10.891629,17,290.2191458,37.74117389,0.9755490979,0.001750061579,4037.8232,3784,4301.51,,,,13.480214,14.421531,12.527815,1.8937159,0.9413166,0.95239925,0.219779,4078.870305,13.80
2438139,13.598,4636,2.4679999,0.054000001,70.003891,10.87033,,290.2836273,37.79706742,0.7509919986,0.04504743215,4387.96,4292.15,4617,46.715523,38.883293,54.547752,13.562988,14.259629,12.770102,1.4895277,0.69664097,0.79288673,0.257099,3028.579485,13.85
2437267,13.866,4657,2.493,0.093999997,69.959274,10.910151,,290.2140544,37.7751523,0.9758391776,0.001313204837,4590.5,4412,4791.9033,80.81609,58.726906,102.90528,13.828852,14.517556,13.041845,1.4757109,0.6887045,0.7870064,0.755351,4295.187066,13.04
2437816,13.98,3996,4.4679999,-0.24600001,69.908264,10.849967,17,290.2546707,37.70373979,0.8926625215,0.02757415214,4096.375,3932.475,4268,,,,13.965893,14.771914,13.060942,1.7109718,0.80602074,0.9049511,0.220008,5609.30138,14.27
2437444,13.991,4318,1.8890001,0.066,69.962914,10.901576,17,290.2257702,37.77459945,0.9671989493,0.003706566194,4139.787,3955.29,4475.585,,,,14.012996,14.841305,13.128048,1.7132568,0.82830906,0.8849478,0.508334,4439.582081,14.07
